tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi
Tier 1 only,48,1,species,0.5416666666666666,0.3958333432674408,0.6875,0.5416666666666666,0.3958333432674408,0.6875
Tier 1 only,48,1,genus,0.5416666666666666,0.3958333432674408,0.6875,0.5416666666666666,0.3958333432674408,0.6875
Tier 1 only,48,1,family,0.6041666666666666,0.4578125096857548,0.7291666865348816,0.6041666666666666,0.4578125096857548,0.7291666865348816
Tier 1 only,48,3,species,0.5416666666666666,0.3958333432674408,0.6875,0.5833333333333334,0.4375,0.7291666865348816
Tier 1 only,48,3,genus,0.5416666666666666,0.3958333432674408,0.6875,0.5833333333333334,0.4375,0.7291666865348816
Tier 1 only,48,3,family,0.5833333333333334,0.4166666567325592,0.7083333134651184,0.6666666666666666,0.5203124806284904,0.7916666865348816
Tier 1 only,48,5,species,0.3958333333333333,0.25,0.5208333134651184,0.5833333333333334,0.4375,0.7291666865348816
Tier 1 only,48,5,genus,0.3958333333333333,0.25,0.5208333134651184,0.5833333333333334,0.4375,0.7291666865348816
Tier 1 only,48,5,family,0.3958333333333333,0.25,0.5416666865348816,0.7083333333333334,0.5625,0.8333333134651184
Tier 1+2,107,1,species,0.3925233644859813,0.29906541109085083,0.4859813153743744,0.3925233644859813,0.29906541109085083,0.4859813153743744
Tier 1+2,107,1,genus,0.40186915887850466,0.30841121077537537,0.4953271150588989,0.40186915887850466,0.30841121077537537,0.4953271150588989
Tier 1+2,107,1,family,0.4485981308411215,0.35514017939567566,0.5420560836791992,0.4485981308411215,0.35514017939567566,0.5420560836791992
Tier 1+2,107,3,species,0.37383177570093457,0.28037384152412415,0.4672897160053253,0.45794392523364486,0.3644859790802002,0.5514018535614014
Tier 1+2,107,3,genus,0.40186915887850466,0.30841121077537537,0.4859813153743744,0.5046728971962616,0.4112149477005005,0.5981308221817017
Tier 1+2,107,3,family,0.411214953271028,0.30841121077537537,0.5046728849411011,0.5794392523364486,0.4859813153743744,0.672897219657898
Tier 1+2,107,5,species,0.37383177570093457,0.28037384152412415,0.4672897160053253,0.5046728971962616,0.4112149477005005,0.5981308221817017
Tier 1+2,107,5,genus,0.411214953271028,0.3177570104598999,0.5046728849411011,0.5700934579439252,0.47663551568984985,0.663551390171051
Tier 1+2,107,5,family,0.42990654205607476,0.336448609828949,0.5233644843101501,0.6635514018691588,0.5792055785655975,0.7478972017765043
Tier 1+2+3,214,1,species,0.3598130841121495,0.2897196114063263,0.42990654706954956,0.3598130841121495,0.2897196114063263,0.42990654706954956
Tier 1+2+3,214,1,genus,0.4158878504672897,0.3457943797111511,0.4814252234995364,0.4158878504672897,0.3457943797111511,0.4814252234995364
Tier 1+2+3,214,1,family,0.4485981308411215,0.3785046637058258,0.5186915993690491,0.4485981308411215,0.3785046637058258,0.5186915993690491
Tier 1+2+3,214,3,species,0.34579439252336447,0.28037384152412415,0.4112149477005005,0.48130841121495327,0.4157710395753384,0.5467289686203003
Tier 1+2+3,214,3,genus,0.4252336448598131,0.35514017939567566,0.49065420031547546,0.5654205607476636,0.49988317787647246,0.6308411359786987
Tier 1+2+3,214,3,family,0.4485981308411215,0.3830607555806637,0.514018714427948,0.6121495327102804,0.5467289686203003,0.677570104598999
Tier 1+2+3,214,5,species,0.3364485981308411,0.2710280418395996,0.3971962630748749,0.5514018691588785,0.4859813153743744,0.6168224215507507
Tier 1+2+3,214,5,genus,0.4205607476635514,0.3550233572721481,0.4859813153743744,0.6495327102803738,0.5841121673583984,0.7102803587913513
Tier 1+2+3,214,5,family,0.4532710280373832,0.38785046339035034,0.5233644843101501,0.7102803738317757,0.6495327353477478,0.7663551568984985
